"分類","難度","題目","選項A","選項B","選項C","選項D","正確答案","解析"
"所有權移轉登記","easy","所有權移轉登記完成後，代表什麼？","新所有權人的權利正式受到法律保障並可對抗第三人","買賣契約自動失效","原所有權人仍保有部分權利","不需要再繳納任何稅費","A","所有權移轉登記完成後，新所有權人的權利才正式受到法律保障，也才能對抗第三人，因此登記是不動產交易中相當關鍵的一步。"
"所有權移轉登記","medium","買賣不動產時，通常先辦理下列何者，才能進行所有權移轉登記？","申報並繳納土地增值稅與契稅","申請時效取得登記","辦理抵押權塗銷登記","申請地籍測量","A","買賣移轉登記前，通常需先完成土地增值稅與契稅的申報並取得完稅證明，才能備齊文件向地政事務所申請所有權移轉登記。"
"繼承登記","medium","下列關於繼承登記的敘述，何者正確？","繼承人取得繼承權利後，不需要辦理繼承登記也能自由處分不動產","繼承登記逾期未辦理，地政機關可能依法公告並限期通知繼承人申報","繼承登記只適用於有遺囑的情況","繼承登記完成前，該不動產會自動歸屬國有","B","依土地法規定，繼承人若逾一定期間未辦理繼承登記，地政機關得依法公告並限期通知申報，屆期未辦理者甚至可能由地政機關代為列管，因此建議儘早辦理繼承登記。"
"繼承登記","medium","辦理繼承登記時，下列何者通常不是必要文件？","被繼承人除戶戶籍謄本","繼承系統表","買賣所有權移轉契約書","遺產稅完稅證明或免稅證明","C","買賣所有權移轉契約書是用於買賣移轉登記，並非繼承登記所需文件；繼承登記通常需要除戶謄本、繼承系統表、遺產稅完（免）稅證明等文件。"
"抵押權登記","medium","抵押權設定登記完成後，債權人取得什麼樣的權利？","對該不動產享有優先受償的權利","直接取得該不動產的所有權","可以立即要求拍賣該不動產","不需要經過法院程序即可強制過戶","A","抵押權是一種擔保物權，設定登記後債權人對該不動產享有優先受償權利；若債務未清償，仍須依法定程序（如聲請法院拍賣）才能實現權利，並非可以直接取得所有權或強制過戶。"
"抵押權登記","easy","房貸清償完畢後，所有權人應該辦理下列何種登記？","抵押權塗銷登記","抵押權設定登記","預告登記","時效取得登記","A","房貸清償完畢後，應辦理抵押權塗銷登記，將已清償的抵押權從權狀上塗銷，回復產權清爽狀態，以免影響日後交易或融資。"
"土地增值稅","easy","土地增值稅的課稅對象是什麼？","土地","建物","動產","現金","A","土地增值稅是針對「土地」所有權移轉時的漲價部分課徵，課稅對象是土地本身，不包含建物；建物移轉則另涉及契稅。"
"土地增值稅","medium","下列何者是土地增值稅常見的優惠規定？","自用住宅用地優惠稅率","印花稅減半","契稅全免","地籍測量免費","A","符合面積、自住等條件的土地，可適用較低的自用住宅用地優惠稅率（並有一生一次、一生一屋等規定），是土地增值稅常見的節稅方式之一。"
"契稅與印花稅","easy","契稅主要是針對下列何者課徵？","建物（房屋）所有權移轉或變更","土地漲價部分","買賣契約的印花","地籍測量費用","A","契稅是針對建物（房屋）所有權移轉或變更時課徵的稅賦，與針對土地漲價課徵的土地增值稅是不同的稅目。"
"地籍測量與其他登記","hard","下列關於時效取得的敘述，何者正確？","只要占有他人土地滿5年即可取得所有權","一般須經過20年和平公然占有，善意無過失者可縮短為10年","時效取得不須經過任何審查程序即可登記","時效取得僅適用於建物，不適用於土地","B","民法規定時效取得一般須經20年和平、公然、繼續占有；若占有之初為善意且無過失，可縮短為10年，且申請登記仍須經公告及審查程序，他人如有異議須經法院判決確認。"
"地籍測量與其他登記","medium","預告登記的主要作用是什麼？","保障請求權人，避免登記名義人在完成本登記前擅自處分該不動產","直接使買方取得所有權","免除買方需繳納的稅費","加速地籍測量的辦理時間","A","預告登記是一種保全性質的登記，目的在保障請求權人（例如已簽約但尚未過戶的買方）的權益，避免登記名義人在完成本登記前另行處分該不動產。"
"地政士服務","easy","地政士主要的職責是什麼？","協助辦理土地及建物登記、繕寫申請書表、代辦稅捐申報等地政相關事務","負責法院訴訟案件的辯護","負責建築物的結構設計","負責不動產的正式估價鑑定","A","地政士依「地政士法」規定執業，主要協助民眾辦理土地及建物登記、繕寫申請書表、代辦稅捐申報等地政相關事務；訴訟辯護、建築設計、正式估價鑑定則分別是律師、建築師、估價師的專業範疇。"
