"分類","標準問題","固定回答","關鍵字","狀態","排序"
"所有權移轉登記","什麼是「所有權移轉登記」？","所有權移轉登記，是指不動產（土地或建物）因買賣、贈與、交換等原因，將所有權由原所有權人變更登記為新所有權人的程序。登記完成後，新所有權人的權利才會正式受到法律保障與對抗第三人，實務上常說「登記完成，才算真正過戶」。辦理登記時需備妥身分證明、原有權狀、契約書及完稅證明等文件，向不動產所在地的地政事務所申請。","所有權移轉登記、過戶、買賣登記、地政事務所","啟用","1"
"所有權移轉登記","買賣移轉登記通常需要準備哪些文件？","常見應備文件包括：雙方身分證明文件、印鑑證明及印鑑章、原所有權狀、土地及建物買賣所有權移轉契約書（公定契紙）、完稅證明（土地增值稅、契稅繳納收據）、戶籍謄本等，實際所需文件會因個案情況（例如是否有貸款、是否為共有）而有所不同，建議事先向地政士或地政事務所確認清單，避免因文件不齊而延誤送件。","買賣移轉登記、應備文件、印鑑證明、公定契紙","啟用","2"
"所有權移轉登記","買賣不動產辦理登記的大致流程是什麼？","一般流程包括：簽訂買賣契約、申報土地增值稅與契稅、完稅取得繳納收據、備齊相關文件向地政事務所申請所有權移轉登記、地政事務所審查（如需要並公告）、核准後發給新的權狀。實務上多半會委託地政士協助備件、申報稅捐與送件，確保程序與文件符合規定、降低退件風險。","買賣流程、過戶流程、申報土地增值稅、契稅、送件","啟用","3"
"繼承登記","什麼是「繼承登記」？為什麼一定要辦理？","繼承登記是指被繼承人過世後，其名下的不動產依法定或約定方式，將所有權變更登記為繼承人的程序。未辦理繼承登記前，繼承人雖然依法已取得繼承權利，但無法將該不動產出售、贈與、設定抵押權等處分，也可能因久未登記而衍生繼承人身分不明、繼承人已故等使案件更複雜的情形，建議儘早辦理。","繼承登記、繼承過戶、遺產","啟用","4"
"繼承登記","辦理繼承登記通常需要準備哪些文件？","常見應備文件包括：被繼承人除戶戶籍謄本、繼承人現戶戶籍謄本、繼承系統表、遺產稅完稅證明或免稅證明、印鑑證明、被繼承人所有權狀（如能找到）等；如繼承人間協議由部分人繼承或分配方式與應繼分不同，另需準備遺產分割協議書。實際文件會因是否有遺囑、繼承人是否有拋棄繼承等情形而不同，建議由地政士協助確認。","繼承登記文件、除戶謄本、繼承系統表、遺產分割協議書","啟用","5"
"繼承登記","繼承登記有沒有辦理期限？逾期會怎麼樣？","依土地法規定，繼承人自繼承開始（即被繼承人過世）之日起，若逾一定期間未辦理繼承登記，地政機關得依法公告，並限期通知繼承人申報登記，屆期仍未辦理者，可能由地政機關代為列管甚至聲請標售。實際期限與後續處理方式仍以現行法規及地政機關公告為準，建議繼承發生後儘早洽詢地政士辦理，避免衍生後續管理上的困擾。","繼承登記期限、逾期未辦理、地政機關公告","啟用","6"
"抵押權登記","什麼是「抵押權設定登記」？","抵押權設定登記，是指債務人（或第三人）提供其不動產作為擔保，向債權人（通常是銀行）借款時，將該不動產設定抵押權並登記在地政機關的程序。登記完成後，債權人對該不動產享有優先受償的權利；若日後債務未能清償，債權人可依法聲請拍賣抵押物以清償債務。","抵押權設定、房貸登記、擔保物權","啟用","7"
"抵押權登記","什麼是「抵押權塗銷登記」？什麼時候需要辦理？","抵押權塗銷登記，是指債務清償完畢（例如房貸還清）後，將原本設定在不動產上的抵押權予以塗銷、回復產權清爽狀態的登記程序。金融機構清償證明開立後，所有權人應盡快辦理塗銷登記，否則即使債務已清償，權狀上仍會顯示抵押權登記尚未塗銷，可能影響日後買賣或再融資。","抵押權塗銷、房貸還清、清償證明","啟用","8"
"土地增值稅","土地增值稅是什麼？什麼情況下需要繳納？","土地增值稅是針對土地所有權移轉時，就土地漲價的部分課徵的稅賦，課稅對象是「土地」本身（不含建物），常見於買賣、贈與、交換等移轉情形。稅額計算是以移轉時的公告土地現值減去前次移轉現值（並依物價指數調整），再乘以適用稅率計算，一般稅率依漲價倍數採20%、30%、40%的累進稅率課徵。","土地增值稅、公告土地現值、累進稅率","啟用","9"
"土地增值稅","土地增值稅有哪些常見的節稅或優惠規定？","常見的優惠包括「自用住宅用地優惠稅率」（符合面積與自住條件者可適用較低的10%稅率，且有一生一次與一生一屋等規定）、長期持有土地達一定年限以上的減徵規定等。各項優惠都有面積、持有期間、實際自用等條件限制，且規定內容與適用門檻可能隨法規調整，實際是否符合資格建議由地政士或稅捐機關依個案確認，避免自行認定而影響權益。","自用住宅用地優惠稅率、一生一次、長期持有減徵","啟用","10"
"契稅與印花稅","契稅是什麼？跟土地增值稅有什麼不同？","契稅是針對「建物（房屋）」所有權移轉或變更時課徵的稅賦，與針對「土地」課徵的土地增值稅是兩種不同的稅目，通常在買賣不動產時會同時申報。契稅是以政府核定的房屋契價為稅基，依移轉原因（例如買賣、贈與、交換、分割等）適用不同稅率計算，實際稅率與計算方式建議以稅捐機關公告為準。","契稅、房屋契價、土地增值稅差異","啟用","11"
"契稅與印花稅","印花稅是什麼？不動產交易需要繳納印花稅嗎？","印花稅是對特定憑證（例如買賣契約、承攬契約、典賣契據等）課徵的稅賦，稅額通常依契約金額的一定比例計算。不動產買賣如使用公定格式契約（公契）辦理產權移轉，屬於應課徵印花稅的憑證之一，實際稅率與課徵方式建議洽詢稅捐機關或地政士確認，避免因契約類型不同而有認定落差。","印花稅、買賣契約、公定契紙","啟用","12"
"地籍測量與其他登記","什麼是「地籍測量」？什麼時候需要申請？","地籍測量是地政機關依申請，就土地的界址、面積、位置等進行測量並更新地籍圖資料的程序，常見於土地分割、合併、界址糾紛釐清、建物第一次測量等情形。測量結果會作為後續登記（例如分割登記、建物所有權第一次登記）的依據，申請時需備妥土地或建物相關文件，並可能需要通知鄰地所有權人到場指界。","地籍測量、土地分割、界址、建物測量","啟用","13"
